Name,Team,W,L,QS,ERA,G,GS,SV,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,PlayerId
"Spencer Strider","ATL",15.2397,6.22757,14.767,3.38505,29.6332,29.6332,0,0,178.53,717.37,133.872,72.9873,67.1483,20.4478,59.1399,1.11108,7.21488,250.714,12.6389,2.98133,4.23933,1.0308,0.34949,0.0824398,0.2670500800013542,0.205636,1.08112,0.2986,0.730143,,,3.05036,4.98733,4.57992,6.190000057220459,5.25405,-1.38681,1.54849,"27498"
"Zack Wheeler","PHI",12.7435,8.17907,16.2351,3.51957,29.5487,29.5487,0,0,184.861,751.041,162.797,78.5787,72.2924,20.6369,43.8971,0.942032,8.24955,192.032,9.34911,2.13714,4.37459,1.00471,0.255687,0.0584484,0.19723903387784958,0.232935,1.11811,0.292375,0.720549,,,3.47497,4.77868,4.27524,24.729999542236328,2.08159,-1.14369,1.1557,"10310"
"Logan Webb","SFG",12.247,9.5888,16.4895,3.41695,30.1458,30.1458,0,0,193.061,791.137,182.986,79.6713,73.2976,16.1343,40.9795,0.60931,7.2965,172.404,8.03704,1.91036,4.20708,0.75214,0.217919,0.0517982,0.16612105444073677,0.246326,1.16008,0.301,0.716536,,,3.30562,4.60452,4.59626,52.470001220703125,3.37997,0.330244,1.08744,"17995"
"Kevin Gausman","TOR",12.0213,8.64143,15.3542,3.4295,29.1331,29.1331,0,0,178.883,728.531,158.417,74.0914,68.1641,21.6586,47.1379,0.676666,4.21656,208.215,10.4758,2.37162,4.41716,1.08969,0.285802,0.0647026,0.22109907865524292,0.233938,1.14911,0.305741,0.750222,,,3.36234,4.42346,4.0664,30.1299991607666,3.39453,-0.179816,1.11676,"14107"
"Aaron Nola","PHI",12.073,9.02029,13.7929,3.89572,29.7703,29.7703,0,0,186.329,756.094,168.984,87.6674,80.654,26.0086,40.5903,0.896731,6.16533,195.233,9.43005,1.96058,4.80983,1.25626,0.258212,0.0536843,0.20452779904007912,0.238227,1.12475,0.292924,0.704004,,,3.72686,4.1544,3.38924,52.31999969482422,2.80915,-1.42296,1.25402,"16149"
"Pablo López","MIN",12.2896,8.3128,14.7933,3.52111,29.6872,29.6872,0,0,183.022,748.268,160.299,77.8308,71.6044,21.2772,48.5001,1.36358,8.70549,202.09,9.93767,2.38496,4.1668,1.04629,0.270077,0.0648164,0.20526088029146194,0.23196,1.14084,0.297249,0.731621,,,3.49566,3.93679,3.90507,34.869998931884766,3.16015,-0.43557,1.07906,"17085"
"Tarik Skubal","DET",10.4565,8.80089,11.9563,3.44111,27.7896,27.7896,0,0,155.707,630.764,132.94,64.7107,59.5338,17.1648,41.2318,0.53144,5.32962,177.936,10.2849,2.38323,4.31551,0.992139,0.282096,0.065368,0.2167281210422516,0.227558,1.11859,0.297545,0.729055,,,3.2997,3.81587,3.59965,49.45000076293945,3.37392,-0.146998,1.0207,"22267"
"George Kirby","SEA",12.2486,8.756,15.0832,3.56805,29.7662,29.7662,0,0,181.274,730.055,170.596,78.1152,71.866,22.0421,26.9949,0.984576,6.77128,170.86,8.48299,1.34026,6.32936,1.09436,0.234038,0.0369765,0.19706101715564728,0.245007,1.09001,0.295108,0.716573,,,3.50949,3.80738,3.50775,32.7599983215332,2.46206,-2.73357,1.26621,"25436"
"Framber Valdez","HOU",13.8651,8.5026,16.7381,3.39395,29.4497,29.4497,0,0,189.398,787.112,166.088,77.6336,71.4229,16.6546,61.535,0.823051,10.2361,188.432,8.95412,2.92409,3.06219,0.791411,0.239397,0.0781782,0.16121874749660492,0.23218,1.20182,0.29286,0.734138,,,3.54522,3.73336,4.36079,57.47999954223633,2.42201,0.273778,1.28677,"17295"
"Zach Eflin","TBR",11.7834,8.32246,12.9458,3.63597,28.2696,28.2696,0.00300781,0,165.491,668.673,153.847,72.6715,66.8578,20.234,29.1876,1.5699,5.71457,160.572,8.73246,1.58733,5.50136,1.1004,0.240135,0.04365,0.19648456200957298,0.242749,1.10601,0.294974,0.713369,,,3.53666,3.69671,3.42212,77.66000366210938,3.0756,0.339232,1.09071,"13774"
