Name,Team,POS,ADP,IP,mSV,mERA,mWHIP,mSO,mHLD,mQS,PTS,aPOS,Dollars,PlayerId
Spencer Strider,ATL,SP,6.309999943,178.53,-1.996585624,5.020210083,9.739652068,8.313805185,-2.368412322,4.667018417,23.37568781,10.19224434,34.56793214,27498
Gerrit Cole,NYY,SP,15.88000011,170.138,-1.996585624,2.12353993,7.613739958,4.645066303,-2.368412322,4.695468302,14.71281655,10.19224434,25.90506089,13125
Zack Wheeler,PHI,SP,24.70000076,184.861,-1.996585624,2.577210668,6.163648183,4.763890897,-2.368412322,5.413160261,14.55291206,10.19224434,25.7451564,10310
George Kirby,SEA,SP,33.27000046,181.274,-1.996585624,1.600935406,8.964387622,3.483150854,-2.368412322,4.82773812,14.51121406,10.19224434,25.70345839,25436
Kevin Gausman,TOR,SP,30.42000008,178.883,-1.996585624,4.192128693,2.784487723,5.742910735,-2.368412322,4.965439773,13.31996898,10.19224434,24.51221332,14107
Corbin Burnes,BAL,SP,20.10000038,185.989,-1.996585624,2.390997673,3.850521374,5.236700685,-2.368412322,5.245824159,12.35904594,10.19224434,23.55129028,19361
Pablo López,MIN,SP,34.72000122,183.022,-1.996585624,2.522009167,3.716299785,5.372373101,-2.368412322,4.680377717,11.92606182,10.19224434,23.11830616,17085
Tarik Skubal,DET,SP,49.38999939,155.707,-1.996585624,3.458490281,5.148776776,3.911190959,-2.368412322,3.238569819,11.39202989,10.19224434,22.58427423,22267
Logan Webb,SFG,SP,51.93000031,193.061,-1.996585624,4.779724931,1.79054601,3.576534793,-2.368412322,5.542434742,11.32424253,10.19224434,22.51648687,17995
Luis Castillo,SEA,SP,30.62999916,188.203,-1.996585624,2.300938774,2.539691904,5.228386618,-2.368412322,4.967833619,10.67185297,10.19224434,21.86409731,15689
Tyler Glasnow,LAD,SP,41.72999954,139.599,-1.996585624,2.301279647,5.519519204,3.82126483,-2.368412322,2.706205856,9.983271591,10.19224434,21.17551593,14374
Zach Eflin,TBR,SP,78.45999908,165.491,-1.995760967,0.276926276,6.665685148,2.860742335,-2.368412322,3.741454916,9.180635386,10.19224434,20.37287972,13774
Framber Valdez,HOU,SP,57.41999817,189.398,-1.996585624,5.148144643,-2.77741519,4.546143038,-2.368412322,5.668756537,8.220631082,10.19224434,19.41287542,17295
Edwin Diaz,NYM,RP,43.99000168,61.952,7.064417535,6.133621974,4.498755072,-0.995722568,-2.000454913,-2.837960854,11.86265625,5.072682396,17.93533864,14710
Freddy Peralta,MIL,SP,52.36000061,161.602,-1.996585624,-0.842270945,3.286617387,4.897223339,-2.368412322,3.513543696,6.490115531,10.19224434,17.68235987,18679
Max Fried,ATL,SP,60.95999908,162.143,-1.996585624,4.261939799,-0.012417803,2.564254075,-2.368412322,3.94598942,6.394767545,10.19224434,17.58701188,13743
Zac Gallen,ARI,SP,40.36000061,185.538,-1.996585624,-0.690840805,1.938031946,4.670938954,-2.368412322,4.671020439,6.224152587,10.19224434,17.41639693,19291
Yoshinobu Yamamoto,LAD,SP,38.36000061,165.836,-1.996585624,-0.596512305,4.706034785,3.799881055,-2.368412322,2.524692311,6.0690979,10.19224434,17.26134224,sa3023345
Aaron Nola,PHI,SP,52.86999893,186.329,-1.996585624,-4.78925753,5.502531987,4.957528242,-2.368412322,4.171943977,5.477748729,10.19224434,16.66999307,16149
Logan Gilbert,SEA,SP,61.33000183,183.963,-1.996585624,-3.171017273,3.987028129,4.233942328,-2.368412322,4.275143515,4.960098753,10.19224434,16.15234309,22250
Joe Musgrove,SDP,SP,90.41999817,153.164,-1.996585624,0.035047046,1.819579248,2.365718936,-2.368412322,3.780983186,3.63633047,10.19224434,14.82857481,12970
Jhoan Duran,MIN,RP,51.41999817,64.0787,6.99218058,5.675434024,1.602061745,-1.67610663,-1.39782711,-2.837960854,8.357781756,5.072682396,14.43046415,21029
Emmanuel Clase,CLE,RP,54.11999893,66.0865,7.352602908,4.556027803,2.611486801,-2.942615746,-1.908861085,-2.837960854,6.830679828,5.072682396,12.90336222,21032
Pete Fairbanks,TBR,RP,89.45999908,53.5876,5.997253743,4.410116705,2.185262388,-2.356847457,-0.889099481,-2.837960854,6.508725045,5.072682396,12.58140744,17998
Andres Munoz,SEA,RP,84.33999634,58.4123,5.798649705,4.345563065,1.630532332,-2.133240428,-0.302080942,-2.837960854,6.501462877,5.072682396,12.57414527,20373
Mason Miller,OAK,SP,216.7200012,60.0654,1.989116456,1.904998989,0.596102049,-2.169872811,1.373802455,-2.714604224,0.979542914,10.19224434,12.17178725,31757
Joe Ryan,MIN,SP,84.43000031,163.349,-1.996585624,-5.987026296,3.721388289,4.107770119,-2.368412322,3.087024669,0.564158835,10.19224434,11.75640317,21390
Josh Hader,HOU,RP,46.56999969,59.0476,7.389288254,3.543537465,0.574158224,-1.674940334,-1.312429069,-2.837960854,5.681653686,5.072682396,11.75433608,14212
Grayson Rodriguez,BAL,SP,66.16000366,159.75,-1.996585624,-0.983019092,-0.47990573,3.549728922,-2.368412322,2.619179684,0.340985837,10.19224434,11.53323017,24492
Evan Phillips,LAD,RP,89.25,61.8167,5.713495588,2.893661166,2.311567246,-2.639815091,-0.156459381,-2.837960854,5.284488675,5.072682396,11.35717107,17734
Bobby Miller,LAD,SP,69.69999695,152.058,-1.996585624,-2.761761575,2.424339188,2.183491625,-2.368412322,2.406520934,-0.112407774,10.19224434,11.07983656,27483
Jason Adam,TBR,RP,313.6900024,56.6827,0.937769009,2.062051924,2.657679978,-2.723340672,4.462435667,-2.837960854,4.558635052,5.072682396,10.63131745,11861
Devin Williams,MIL,RP,45.18000031,57.0031,5.8565722,4.691809751,0.335514477,-1.986361976,-1.546217898,-2.837960854,4.5133557,5.072682396,10.5860381,15816
Chris Sale,ATL,SP,120.8700027,129.958,-1.996585624,-2.272539992,1.875087413,2.397591523,-2.368412322,1.614804406,-0.750054595,10.19224434,10.44218974,10603
Bryan Abreu,HOU,RP,363.8399963,63.2419,-1.116672956,4.192568428,-0.414186845,-1.712871935,6.197811094,-2.837960854,4.308686933,5.072682396,10.38136933,16609
Blake Snell,,SP,69.90000153,156.317,-1.996585624,2.550043245,-8.040191237,5.133374389,-2.303546825,3.586786472,-1.070119581,10.19224434,10.12212476,13543
Jesus Luzardo,MIA,SP,79.81999969,168.296,-1.996585624,-2.214111692,-3.124212062,4.702042626,-2.368412322,3.905965804,-1.095313271,10.19224434,10.09693107,19959
Raisel Iglesias,ATL,RP,60.29999924,60.622,6.424916327,2.041153241,1.809302797,-2.452017992,-1.221734402,-2.837960854,3.763659117,5.072682396,9.836341513,17130
Michael King,SDP,SP,134.9700012,139.765,-1.931964465,0.910114209,-2.275964461,2.44726823,-1.972864372,1.275141913,-1.548268945,10.19224434,9.643975393,19853
Shane Bieber,CLE,SP,150.9299927,166.246,-1.996585624,-2.206502964,-2.075802979,2.664008101,-2.368412322,4.166628465,-1.816667323,10.19224434,9.375577014,19427
Ryan Helsley,STL,RP,93.58000183,60.6776,5.061224164,3.316267456,0.085881931,-2.044217982,-0.482797346,-2.837960854,3.098397369,5.072682396,9.171079765,18138
Eury Perez,MIA,SP,76.51999664,141.375,-1.996585624,-2.702344333,0.285047704,2.898848395,-2.368412322,1.819711147,-2.063735033,10.19224434,9.128509305,27768
Ryan Pressly,HOU,RP,307.6600037,61.5318,-0.675782454,1.682251048,1.71928585,-2.709356665,5.456912809,-2.837960854,2.635349734,5.072682396,8.70803213,7005
Jose Alvarado,PHI,RP,160.2200012,63.1847,4.440987573,3.714313435,-2.418216157,-1.622981805,1.227026898,-2.837960854,2.503169089,5.072682396,8.575851485,17780
David Bednar,PIT,RP,68.61000061,60.9957,6.060215297,2.658141499,0.314077846,-2.455799799,-1.284002075,-2.837960854,2.454671914,5.072682396,8.52735431,19569
Tanner Bibee,CLE,SP,104.4599991,164.322,-1.996585624,-1.819645167,-2.911676829,3.296766972,-2.368412322,3.071051961,-2.72850101,10.19224434,8.463743328,30134
Justin Steele,CHC,SP,98.69999695,170.717,-1.996585624,-0.274576664,-5.456287704,3.184102928,-2.368412322,3.937174017,-2.974585369,10.19224434,8.217658969,17312
Matt Strahm,PHI,SP/RP,502.9400024,65.3546,-1.603286235,0.023637032,1.305049789,-2.196114689,2.291907954,-2.837960854,-3.016767002,10.19224434,8.175477335,13799
Tanner Scott,MIA,RP,98.41999817,66.3007,5.279505944,3.162864584,-1.55535845,-1.55368715,-0.498457871,-2.837960854,1.996906203,5.072682396,8.069588599,17586
Hunter Harvey,WSN,RP,264.1199951,59.9635,1.563774161,0.65272642,0.850835821,-2.820611185,4.06296876,-2.837960854,1.471733122,5.072682396,7.544415518,15507
A.J. Minter,ATL,RP,447.3699951,61.0648,-0.738596146,1.244493526,-0.049079189,-2.26793947,6.088697917,-2.837960854,1.439615784,5.072682396,7.51229818,18655
Sonny Gray,STL,SP,115.7600021,160.833,-1.996585624,-0.29374098,-5.114472531,2.399801346,-2.368412322,3.380650092,-3.992760019,10.19224434,7.199484319,12768
Brusdar Graterol,LAD,RP,414.25,60.1128,-0.516956302,2.518540623,0.065311541,-3.845662077,5.261316276,-2.837960854,0.644589208,5.072682396,6.717271604,20367
