Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,PlayerId
"Ronald Acuña Jr.","ATL",147,659,567,181,104,37,2,38,126,102,77,6,103,10,4,1,10,52,17,0.319314,0.117322,0.156335,0.750448,0.408133,0.594344,0.4211,1.00248,0.27503,6.44921,0.332278,,2.02348,136.485,56.2084,166.02,2.02348,5.03,55.909586668014526,-1.9773006439208984,7.61561,1,,,,"18401"
"Mookie Betts","LAD",149,661,567,163,92,36,3,32,106,100,81,3,102,8,5,1,9,13,5,0.287222,0.121867,0.154592,0.788314,0.380624,0.53162,0.3875,0.912244,0.244399,4.86675,0.29842,,-0.851487,118.489,37.9484,147.286,-0.851487,1.04,37.871009171009064,3.8633155822753906,6.40663,5,,,,"13611"
"Aaron Judge","NYY",138,600,495,138,68,25,1,45,101,110,96,10,163,5,3,0,9,7,3,0.278811,0.160064,0.270833,0.591006,0.398721,0.602265,0.415368,1.00099,0.323455,3.33935,0.320187,,-1.03896,121.485,48.3508,171.01,-1.03896,-4.98,50.031370639801025,-8.107678174972534,6.2141,11.369999885559082,,,,"15640"
"Juan Soto","NYY",153,664,531,147,82,27,2,36,108,97,124,8,110,4,4,1,15,10,4,0.276655,0.186581,0.165637,1.12644,0.414785,0.538797,0.404652,0.953582,0.262142,4.07048,0.284941,,-1.1481,128.489,47.5802,163.582,-1.1481,-0.81,49.44071125984192,-9.93090683221817,6.18955,10.6899995803833,,,,"20123"
"Fernando Tatis Jr.","SDP",148,647,570,162,89,33,4,36,107,102,65,4,146,6,4,1,10,32,8,0.2845,0.100575,0.226256,0.444518,0.361614,0.547072,0.382838,0.908686,0.262572,6.44244,0.321206,,1.7381,113.407,34.6188,147,1.7381,4.78,39.38875067234039,-2.049999713897705,5.91945,7.949999809265137,,,,"19709"
"Adley Rutschman","BAL",143,604,519,141,93,28,2,18,77,72,74,3,94,5,4,1,12,3,1,0.271666,0.123072,0.15532,0.792381,0.365998,0.438521,0.349581,0.804519,0.166855,3.18785,0.299138,,-1.155,89.174,15.6408,125.649,-1.155,12.46,17.39206624031067,18.796306133270264,5.65327,53.77000045776367,,,,"26288"
"Yordan Alvarez","HOU",139,599,508,151,79,31,1,39,98,108,77,7,116,8,5,1,11,0,0,0.297849,0.12937,0.19422,0.666103,0.396114,0.597651,0.41441,0.993765,0.299803,2.36709,0.313333,,-1.23359,120.741,47.7674,169.137,-1.23359,-0.41,48.38004660606384,-12.740557819604874,5.58296,16.420000076293945,,,,"19556"
"Bobby Witt Jr.","KCR",152,657,603,174,100,36,6,31,108,91,42,3,120,6,5,1,6,48,9,0.288243,0.0641301,0.183056,0.350331,0.337698,0.52342,0.362973,0.861118,0.235178,7.95243,0.312215,,4.75862,104.396,24.3371,128.449,4.75862,-0.88,27.156266689300537,6.147870182991028,5.54713,2.369999885559082,,,,"25764"
"Corey Seager","TEX",128,559,492,147,83,31,1,31,82,94,55,5,90,5,4,1,11,2,1,0.298066,0.0992068,0.161715,0.613469,0.372472,0.558044,0.390601,0.930516,0.259978,2.66987,0.307701,,-1.03523,101.59,33.5142,149.364,-1.03523,-0.05,32.012012124061584,3.8933023922145367,5.4733,31.729999542236328,,,,"13624"
"Will Smith","LAD",125,517,445,121,72,25,2,23,73,75,55,2,86,11,6,0,8,2,1,0.27324,0.10674,0.165992,0.643041,0.36338,0.490432,0.365029,0.853812,0.217192,3.2447,0.288933,,-0.962167,83.0084,20.028,132.222,-0.962167,8.98,19.67117214202881,17.477431297302246,5.45987,84.31999969482422,,,,"19197"
