Name,Eno
Spencer Strider,1
Corbin Burnes,2
Gerrit Cole,3
Zack Wheeler,4
George Kirby,5
Kevin Gausman,6
Luis Castillo,7
Yoshinobu Yamamoto,8
Logan Webb,9
Tyler Glasnow,10
Pablo López,11
Logan Gilbert,12
Zac Gallen,13
Tarik Skubal,14
Bobby Miller,15
Grayson Rodriguez,16
Freddy Peralta,17
Zach Eflin,18
Blake Snell,19
Eury Pérez,20
Framber Valdez,21
Aaron Nola,22
Max Fried,23
Joe Musgrove,24
Justin Steele,25
Dylan Cease,26
Cole Ragans,27
Michael King,28
Jesús Luzardo,29
Justin Verlander,30
Carlos Rodón,31
Yu Darvish,32
Hunter Greene,33
Chris Sale,34
Sonny Gray,35
Shane Bieber,36
Shota Imanaga,37
Bryan Woo,38
Bryce Miller,39
Joe Ryan,40
Jordan Montgomery,41
Aaron Civale,42
Tanner Bibee,43
Bailey Ober,44
Braxton Garrett,45
Merrill Kelly,46
Nick Pivetta,47
Yusei Kikuchi,48
José Berríos,49
Chris Bassitt,50
Nathan Eovaldi,51
Taj Bradley,52
Hunter Brown,53
Gavin Williams,54
Seth Lugo,55
Cristopher Sánchez,56
Charlie Morton,57
Mitch Keller,58
Eduardo Rodriguez,59
Kutter Crawford,60
Brandon Pfaadt,61
Shane Baz,62
Nick Lodolo,63
Walker Buehler,64
Edward Cabrera,65
Brayan Bello,66
Nestor Cortes,67
Jon Gray,68
Marcus Stroman,69
Dean Kremer,70
Kyle Harrison,71
Luis Severino,72
Chris Paddack,73
Ryan Pepiot,74
Trevor Rogers,75
Kenta Maeda,76
Cristian Javier,77
Lance Lynn,78
Jordan Hicks,79
Max Scherzer,80
Robbie Ray,81
Emmet Sheehan,82
Kyle Bradish,83
Triston McKenzie,84
Griffin Canning,85
Clarke Schmidt,86
Kodai Senga,87
Jameson Taillon,88
Sean Manaea,89
Louie Varland,90
Tanner Houck,91
Joe Boyle,92
John Means,93
Matt Manning,94
Reid Detmers,95
Miles Mikolas,96
Andrew Heaney,97
Lucas Giolito,98
Graham Ashcraft,99
Frankie Montas,100
MacKenzie Gore,101
Andrew Abbott,102
Reese Olson,103
Ranger Suárez,104
David Peterson,105
Domingo Germán,106
Reynaldo López,107
Paul Skenes,108
Sawyer Gipson-Long,109
Patrick Sandoval,110
Jack Flaherty,111
Luis Medina,112
Paul Blackburn,113
JP Sears,114
Randy Vásquez,115
Taijuan Walker,116
Chase Silseth,117
Kyle Gibson,118
José Quintana,119
Logan Allen,120
Clayton Kershaw,121
Alex Cobb,122
Keaton Winn,123
José Urquidy,124
Connor Phillips,125
Michael Wacha,126
Erick Fedde,127
Tyler Wells,128
Kyle Hendricks,129
Bryce Elder,130
Dane Dunning,131
Hayden Wesneski,132
Lance McCullers Jr.,133
James Paxton,134
Ryne Nelson,135
Will Warren,136
Jared Jones,137
Steven Matz,138
Ken Waldichuk,139
Josiah Gray,140
Brady Singer,141
J.P. France,142
Zack Littell,143
Alek Manoah,144
Jhony Brito,145
Gavin Stone,146
Joey Cantillo,147
Max Meyer,148
Simeon Woods Richardson,149
Michael Kopech,150
Roansy Contreras,151
José Butto,151
Hyun Jin Ryu,152
Anthony DeSclafani,153
Matthew Liberatore,154
Jack Leiter,155
Brandon Williamson,156
Ross Stripling,157
Jakob Junis,158
Ricky Tiedemann,159
Drew Smyly,160
Drew Rasmussen,161
Tristan Beck,162
Tylor Megill,163
Carlos Carrasco,164
Michael Lorenzen,165
Michael Grove,166
Zack Thompson,167
Kyle Hurt,168
