Name,PL Rank
Spencer Strider,1
Corbin Burnes,2
Zack Wheeler,3
Pablo López,4
Luis Castillo ,5
George Kirby,6
Kevin Gausman,7
Logan Webb,8
Cole Ragans,9
Tarik Skubal,10
Tyler Glasnow,11
Zac Gallen,12
Max Fried,13
Aaron Nola,14
Bobby Miller,15
Yoshinobu Yamamoto,16
Zach Eflin,17
Grayson Rodriguez,18
Eury Pérez,19
Freddy Peralta,20
Joe Musgrove ,21
Framber Valdez,22
Justine Steele,23
Bailey Ober,24
Chris Sale,25
Bryan Woo,26
Sonny Gray,27
Yu Darvish,28
Michael King,29
Joe Ryan,30
Logan Gilbert,31
Blake Snell,32
Shota Imanaga,33
Jesús Luzardo,34
Nick Pivetta,35
Tanner Bibee,36
Dylan Cease,37
Nathan Eovaldi,38
Gavin Williams,39
Kutter Crawford,40
Tristan McKenzie,41
Cristian Javier,42
Nestor Cortes,43
Bryce Miller,44
Hunter Brown,45
Brayan Bello,46
Chris Bassitt,47
Christopher Sanchez,48
Shane Bieber,49
Merrill Kelly,50
Jordan Montgomery,51
José Berrios,52
A.J. Puk,53
Hunter Greene,54
DL Hall,55
Reese Olson,56
Yusei Kikuchi,57
Garrett Whitlock,58
Tanner Houck,59
Jared Jones,60
Ryan Weathers,61
James Paxton,62
MacKenzie Gore,63
Taj Bradley,64
Ryan Pepiot,65
Nick Lodolo,66
Gavin Stone,67
Aaron Civale,68
Marcus Stroman,69
Matt Manning,70
Eduardo Rodriguez,71
Carlos Rodón,72
Eric Fedde,73
Mitch Keller,74
Chris Paddack,75
Ryne Nelson,76
Louie Varland,77
Casey Mize,78
Reynaldo López,79
Garrett Crochet,80
Cole Irvin,81
Michael Wacha,82
Charlie Morton,83
Seth Lugo,84
Tyler Wells,85
José Urquidy,86
Michael Soroka,87
Brandon Pfaadt,88
Clarke Schmidt ,89
J.P. France,90
JP Sears,91
Jordan Hicks,92
Trevor Rogers,93
Kyle Harrison,94
Griffin Canning,95
Joe Boyle,96
Luis Severino,97
Tylor Megill,98
Lance Lynn,99
Boden Francis,100
